Precinct,Rebecca Keller Smondrowski 2016,Opposing Ballots,Rebecca Keller Smondrowski 2016 percentage
1001,390,1082,0.264945652173913
1002,432,1032,0.29508196721311475
1003,781,1756,0.3078439101300749
1004,522,1202,0.302784222737819
1005,485,1187,0.2900717703349282
1006,320,798,0.28622540250447226
1007,60,161,0.27149321266968324
2001,781,1865,0.29516250944822375
2002,607,1414,0.30034636318654134
2003,707,1415,0.33317624882186614
2004,817,1778,0.31483622350674373
2005,613,1361,0.3105369807497467
2006,826,1908,0.302121433796635
2007,21,75,0.21875
2008,595,1516,0.2818569398389389
2009,68,167,0.28936170212765955
2010,309,702,0.3056379821958457
2011,636,1754,0.26610878661087867
3001,617,1647,0.27252650176678445
3002,497,1430,0.25791385573430203
4001,743,1591,0.318337617823479
4002,546,1125,0.3267504488330341
4003,722,1398,0.34056603773584904
4004,484,904,0.34870317002881845
4005,481,1095,0.3052030456852792
4006,534,1163,0.3146729522687095
4007,485,1012,0.3239812959251837
4008,773,1393,0.35687903970452445
4009,388,759,0.33827375762859635
4010,510,924,0.35564853556485354
4011,81,161,0.3347107438016529
4012,573,1276,0.30989724175229855
4013,522,939,0.35728952772073924
4014,666,1408,0.32111861137897785
4015,306,634,0.32553191489361705
4016,696,1474,0.3207373271889401
4017,476,852,0.35843373493975905
4018,495,1112,0.3080273802115744
4019,353,728,0.3265494912118409
4020,556,1268,0.3048245614035088
4021,553,1027,0.35
4023,33,110,0.23076923076923078
4024,399,1004,0.2843905915894512
4025,339,605,0.3591101694915254
4026,507,1018,0.3324590163934426
4027,119,236,0.3352112676056338
4028,292,529,0.3556638246041413
4029,201,478,0.2960235640648012
4030,492,908,0.3514285714285714
4031,547,1034,0.3459835547122075
4032,229,427,0.3490853658536585
4033,43,89,0.32575757575757575
4034,435,912,0.32293986636971045
4035,68,115,0.37158469945355194
4036,0,0,
4037,132,259,0.3375959079283887
4038,23,37,0.38333333333333336
4040,26,45,0.36619718309859156
4041,0,0,
4042,1,3,0.25
4043,3,9,0.25
5001,650,1365,0.3225806451612903
5002,544,1181,0.3153623188405797
5003,824,1664,0.3311897106109325
5004,395,765,0.34051724137931033
5005,442,959,0.31548893647394716
5006,651,1421,0.3141891891891892
5008,506,1313,0.27817482133040133
5009,716,1521,0.32007152436298614
5010,332,855,0.2796967144060657
5011,465,1046,0.30774321641297153
5012,860,1818,0.32113517550410753
5013,729,1731,0.29634146341463413
5014,385,917,0.2956989247311828
5015,509,1108,0.3147804576376005
5016,645,1344,0.32428355957767724
5017,512,1138,0.3103030303030303
5018,272,674,0.28752642706131076
5019,422,903,0.31849056603773584
5021,588,1324,0.3075313807531381
5022,277,538,0.3398773006134969
5023,637,1515,0.29600371747211895
6001,391,1044,0.2724738675958188
6002,575,1403,0.29069767441860467
6003,561,1077,0.3424908424908425
6004,542,1129,0.3243566726511071
6005,861,1773,0.32687927107061504
6006,610,1524,0.2858481724461106
6007,728,1663,0.30447511501463825
6008,428,964,0.3074712643678161
6009,423,1388,0.23357261181667588
6010,527,1188,0.30728862973760934
6011,8,20,0.2857142857142857
6013,428,777,0.35518672199170126
6014,241,645,0.27200902934537247
6015,622,1474,0.2967557251908397
6016,0,0,
7001,315,504,0.38461538461538464
7002,424,784,0.3509933774834437
7003,645,1172,0.3549807374793616
7004,660,1144,0.36585365853658536
7005,433,728,0.37295434969853575
7006,266,525,0.336283185840708
7007,425,698,0.3784505788067676
7008,522,964,0.351278600269179
7009,487,901,0.35086455331412103
7010,609,1098,0.35676625659050965
7011,639,1096,0.368299711815562
7012,483,892,0.3512727272727273
7013,625,1166,0.3489670575097711
7015,735,1350,0.35251798561151076
7016,437,770,0.3620546810273405
7018,526,873,0.3759828448892066
7019,916,1719,0.3476280834914611
7020,592,1125,0.34478741991846246
7021,251,440,0.36324167872648333
7022,569,923,0.38136729222520105
7023,768,1501,0.3384750991626267
7024,527,934,0.3607118412046543
7025,544,999,0.3525599481529488
7026,659,1159,0.3624862486248625
7027,361,648,0.35777998017839446
7028,366,690,0.3465909090909091
7031,296,558,0.34660421545667447
7032,216,475,0.3125904486251809
8001,882,1829,0.3253412025082995
8002,983,1959,0.3341264445955133
8003,651,1336,0.3276295923502768
8004,299,643,0.3174097664543524
8005,682,1504,0.3119853613906679
8006,809,1682,0.32476916900843034
8007,828,1743,0.3220536756126021
8008,597,1346,0.3072568193515183
8009,829,1740,0.3226936551187232
8010,446,930,0.3241279069767442
8011,658,1245,0.34576983709931686
8012,714,1392,0.33903133903133903
8014,4,6,0.4
8015,40,106,0.273972602739726
9001,630,1351,0.31802120141342755
9002,767,1561,0.32946735395189003
9003,384,815,0.3202668890742285
9004,613,1310,0.31877275091003643
9005,582,1147,0.3366107576633892
9006,671,1385,0.32636186770428016
9007,698,1480,0.3204775022956841
